,SchoolID,CNTSTUID,PV1MATH,Female,PV1READ,ESCS,PARED,METASUM,PERFEED,HOMEPOS,ADAPTIVITY,TEACHINT,CULTPOSS,HEDRES,WEALTH,ICTRES,JOYREAD,ATTLNACT,COMPETE,WORKMAST,GFOFAIL,EUDMO,SWBP,RESILIENCE,MASTGOAL,BELONG,SCREADCOMP,SCREADDIFF,PISADIFF,ST160Q01IA,ST160Q02IA,ST160Q03IA,ST160Q04IA,ST160Q05IA,ST161Q01HA,ST161Q02HA,ST161Q03HA,ST161Q06HA,ST161Q07HA,ST161Q08HA,ST184Q01HA,ST186Q05HA,ST186Q06HA,ST186Q07HA,ST186Q10HA,ST186Q09HA,ST186Q02HA,ST186Q01HA,ST186Q08HA,ST186Q03HA,STAFFSHORT,TEACHBEHA,SC164Q01HA,SC064Q01TA,SC064Q02TA,SC064Q03TA,SC064Q04NA,Public
37,84000002,CNTSTUID,405.909,Male,529.203,-0.2077,14,1.36,0.0728,-1.4828,-0.5786,0.1744,-0.5925,-0.4396,-0.8788,-1.2471,-0.2704,-0.6583,-0.2661,-0.1015,-1.4869,0.2621,0.1869,-0.0614,-0.094,0.0348,0.1222,-0.0697,0.2705,3,2,2,2,3,3,3,3,2,2,2,2,4,3,4,2,3,3,3,2,3,1.0953,-0.1274,1,15,25,1,1,1
38,84000002,CNTSTUID,384.144,Male,422.985,-0.6534,12,0.59,1.251,0.1183,0.4572,0.1744,-0.0079,-0.1357,1.0979,0.6027,0.0674,0.0321,0.1956,-0.6545,0.1097,0.2621,-1.4539,-0.4684,-0.6331,-0.3184,-0.4089,0.409,1.2958,3,3,2,2,3,3,2,3,2,3,2,3,2,2,3,2,3,2,3,3,2,1.0953,-0.1274,1,15,25,1,1,1
39,84000002,CNTSTUID,444.64,Male,572.895,-0.308,16,0.59,0.5121,0.0397,-0.1716,0.636,0.0385,-0.9386,0.9654,0.2604,-0.2584,0.4667,0.1956,0.487,-0.687,0.2621,1.2386,0.0018,-0.2151,1.4903,-0.4089,0.9065,0.9672,2,1,2,1,3,3,2,3,2,3,3,1,4,1,3,1,4,1,4,2,4,1.0953,-0.1274,1,15,25,1,1,1
40,84000002,CNTSTUID,351.404,Male,412.031,-0.5402,16,-1.72,0.7743,-1.5431,-1.0467,-0.5905,-1.2413,-1.4564,-0.1212,-0.7112,-1.0727,-0.0159,-1.0881,-1.034,-0.3799,-0.6723,-1.7969,0.4558,0.2342,-0.4415,0.1222,0.8207,-1.272,4,2,1,3,4,3,3,3,2,4,2,3,3,1,2,2,2,1,2,1,1,1.0953,-0.1274,1,15,25,1,1,1
41,84000002,CNTSTUID,464.787,Female,499.009,0.628,16,-0.95,0.2012,-0.1973,0.1915,-0.2934,-0.0469,1.1793,0.191,-0.3918,0.638,-1.1507,0.1956,-0.6545,-1.8939,-0.9827,-0.5928,0.7396,0.1123,-0.4509,1.8839,1.137,-1.272,2,3,3,2,2,4,4,4,4,3,2,1,3,2,3,2,3,2,3,3,3,1.0953,-0.1274,1,15,25,1,1,1
42,84000002,CNTSTUID,355.577,Female,258.187,-1.3361,14,-0.57,2.0165,-2.1433,0.1915,0.1744,-0.0469,-3.0862,-0.8533,-1.5044,-0.4183,-0.6583,0.1956,-0.1015,-0.687,0.147,1.2386,-0.0614,1.8524,-0.3184,-0.5485,-0.0697,1.4885,3,3,2,4,4,2,3,3,2,2,2,2,4,1,4,3,4,1,4,2,4,1.0953,-0.1274,1,15,25,1,1,1
43,84000002,CNTSTUID,340.7,Female,412.656,-0.4644,14,-1.72,-0.3253,-0.1647,-0.5786,0.1744,0.4847,1.1793,-0.1701,-0.6231,-0.4556,1.0844,0.1956,0.5693,-0.3799,0.2621,-0.5928,-0.0614,1.8524,-0.3184,0.1222,0.409,1.0453,3,2,2,3,3,3,3,3,2,3,2,2,3,2,4,1,4,3,3,3,3,1.0953,-0.1274,1,15,25,1,1,1
44,84000002,CNTSTUID,628.726,Male,669.297,0.6068,16,0.21,0.7743,-0.0237,-0.1687,0.636,0.4358,-1.1515,-0.0083,0.1789,-0.0176,1.0844,0.1956,0.6291,1.8905,-0.9827,-1.566,1.217,1.1101,-0.4509,1.8839,-0.663,-1.272,3,2,3,2,3,4,4,4,2,2,1,1,3,3,2,2,3,2,2,2,2,1.0953,-0.1274,1,15,25,1,1,1
45,84000002,CNTSTUID,326.144,Male,387.471,0.4348,12,-0.18,2.0165,1.1436,0.937,1.7534,0.6527,1.1793,1.6879,1.2943,0.7796,1.0844,2.0054,1.0596,-1.8939,1.7411,1.2386,2.3693,1.8524,0.1837,0.6632,1.1604,0.2705,1,3,3,1,4,3,4,3,3,4,2,4,4,1,2,1,1,1,4,2,4,1.0953,-0.1274,1,15,25,1,1,1
46,84000002,CNTSTUID,466.557,Male,563.777,0.8388,16,0.59,0.0728,0.3409,0.8329,0.1744,0.9094,1.1793,0.4388,-0.1536,-0.2704,1.0844,0.1956,-0.1015,0.4637,-0.1652,-0.5928,-0.0614,0.5761,-0.3184,0.1222,0.409,0.2705,3,2,2,2,3,3,3,3,2,3,2,2,3,2,3,1,3,1,3,2,3,1.0953,-0.1274,1,15,25,1,1,1
47,84000002,CNTSTUID,303.187,Female,339.555,-1.8671,12,0.21,-0.3253,-2.3739,0.1915,0.1744,-1.8691,-0.6853,-2.3189,-2.2287,0.1851,1.0844,2.0054,-0.1015,-1.8939,0.2621,1.2386,-0.0614,-0.3152,-0.4415,1.2374,1.3451,0.2705,3,3,2,2,2,4,4,3,2,3,4,3,4,3,4,2,4,3,4,3,4,1.0953,-0.1274,1,15,25,1,1,1
48,84000002,CNTSTUID,524.66,Male,526.742,-0.6199,12,-1.72,0.7743,-0.3462,0.4572,-0.2934,0.4358,0.0477,-0.3915,-0.94,1.0781,-1.1393,2.0054,-0.7233,-1.8939,-0.9827,-3.0666,0.3315,-0.8734,-1.2919,-0.4419,0.3787,0.5206,1,3,3,1,2,3,3,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1.0953,-0.1274,1,15,25,1,1,1
49,84000002,CNTSTUID,383.405,Male,343,0.0569,16,-1.72,1.3514,0.4677,0.4572,-0.2934,0.4648,-0.67,1.6736,0.7063,-1.793,-0.6583,-0.2047,-0.1015,0.052,0.2621,-1.1176,-0.0614,0.5761,-0.3184,-0.849,0.3787,1.1904,3,1,1,4,4,2,3,2,3,2,2,2,3,2,3,2,3,2,3,2,2,1.0953,-0.1274,1,15,25,1,1,1
50,84000002,CNTSTUID,472.061,Female,466.27,-0.8748,12,0.59,0.0728,-0.6947,-0.1687,-1.0078,-0.6637,-1.1123,0.0311,0.0595,-0.0721,0.0281,0.3709,1.1448,-0.0845,0.8126,-1.566,-0.4684,1.1101,-0.4199,0.1222,-0.1817,0.2705,2,1,3,2,2,3,3,3,2,3,1,4,3,1,2,1,3,1,2,4,2,1.0953,-0.1274,1,15,25,1,1,1
51,84000002,CNTSTUID,332.126,Male,274.268,-1.2419,9,-1.72,-0.3253,-1.964,-0.5786,0.1744,-1.8691,-1.6618,-0.7031,-1.4787,0.1372,-0.6583,0.1956,-0.1015,-1.8939,1.7411,1.2386,2.3693,1.8524,-0.9879,0.1222,1.2421,1.6524,3,3,3,3,3,3,3,3,3,3,3,1,4,3,4,2,3,2,4,3,4,1.0953,-0.1274,1,15,25,1,1,1
52,84000002,CNTSTUID,288.623,Female,311.922,-1.8441,12,-1.72,-0.3253,-3.0618,0.4572,-1.1084,-0.6637,-4.4106,-1.8236,-2.0184,-0.2704,0.0321,-0.9792,0.5493,0.4637,-0.3121,-1.566,0.1,-0.4347,-0.8453,-1.1572,-1.8876,1.6524,3,2,2,2,3,1,1,4,1,1,1,3,3,1,1,1,2,1,2,3,2,1.0953,-0.1274,1,15,25,1,1,1
53,84000002,CNTSTUID,409.731,Female,455.285,-0.0173,16,-0.57,-0.3253,-0.2659,2.0073,0.1744,0.3644,-0.8326,0.3084,-0.0367,0.2694,1.0844,-0.5707,-1.034,1.8905,1.1963,1.2386,-0.0614,0.3468,-1.0144,-2.4403,2.7752,1.6524,2,2,3,2,2,1,1,1,4,4,4,1,4,4,4,4,2,4,4,4,4,1.0953,-0.1274,1,15,25,1,1,1
54,84000002,CNTSTUID,379.792,Female,397.192,-1.4097,16,-1.72,-8.00E-04,-2.7415,-0.5786,-1.725,0.3109,-1.0527,-3.5937,-3.768,-0.5228,1.0844,0.1956,0.9982,1.8905,0.2621,-1.0127,-0.0614,-0.2151,-0.1769,1.8839,-1.8876,-1.272,4,2,2,2,3,4,4,4,1,1,1,1,3,1,3,3,3,1,2,3,4,1.0953,-0.1274,1,15,25,1,1,1
55,84000002,CNTSTUID,508.838,Female,430.798,-0.2921,16,0.59,1.3514,0.1513,-0.4708,-1.2793,0.5135,0.0477,0.6853,0.3692,1.0123,1.0844,1.2643,0.0273,-0.0845,0.8126,0.4094,-1.0974,0.5761,1.4685,0.8214,-1.0064,0.2705,2,3,3,1,1,4,3,3,1,1,2,1,4,3,4,2,3,3,4,3,2,1.0953,-0.1274,1,15,25,1,1,1
56,84000002,CNTSTUID,411.776,Female,518.145,1.11,16,0.59,-8.00E-04,0.3103,0.7368,0.1744,0.9094,1.1793,0.0443,0.5557,1.1914,0.0281,-0.6888,-0.1015,-1.1858,0.9269,1.2386,0.3864,-1.5965,0.3241,0.8214,-0.524,-0.2888,2,3,4,1,2,4,3,3,1,2,2,2,4,2,4,1,4,2,4,2,4,1.0953,-0.1274,1,15,25,1,1,1
57,84000002,CNTSTUID,585.7,Female,707.746,-0.1141,14,0.98,0.7743,-0.9114,-0.5819,0.1744,-0.6637,-0.9191,-0.3018,-1.2275,1.4712,1.0844,-0.2047,-0.6545,0.4637,0.2621,-0.5928,0.3858,0.9703,-0.4509,1.2374,0.409,0.2705,2,4,3,1,1,4,3,4,2,3,2,2,3,2,3,3,3,2,3,3,3,1.0953,-0.1274,1,15,25,1,1,1
58,84000002,CNTSTUID,251.678,Male,229.741,0.0634,16,-1.72,-1.1311,-0.3267,-2.2652,0.1744,0.9603,1.1793,-0.0468,-1.3692,-0.131,-0.6583,1.1811,-1.3692,0.8207,-0.523,-1.7429,-0.8109,-0.5467,-1.4278,0.8214,0.8207,1.6524,3,2,4,4,3,4,3,3,3,1,4,3,4,2,2,3,2,1,1,3,1,1.0953,-0.1274,1,15,25,1,1,1
